,sensor [K-33 ELG],,,,
,CO2,,Temperature,,Humidity
01.01.00 1:00:42.000,563,,21.61,,53.03
01.01.00 1:01:02.000,560,,21.53,,55.29
01.01.00 1:01:22.000,556,,21.47,,56.26
01.01.00 1:01:42.000,557,,21.37,,57.27
01.01.00 1:02:02.000,558,,21.29,,57.99
01.01.00 1:02:22.000,557,,21.2,,58.59
01.01.00 1:02:42.000,557,,21.14,,59.01
01.01.00 1:03:02.000,557,,21.07,,59.53
01.01.00 1:03:22.000,556,,21.05,,60.36
01.01.00 1:03:42.000,558,,21.02,,61.43
01.01.00 1:04:02.000,560,,20.95,,62.01
01.01.00 1:04:22.000,560,,20.9,,62.47
01.01.00 1:04:42.000,564,,20.85,,62.93
01.01.00 1:05:02.000,566,,20.79,,63.36
01.01.00 1:05:22.000,570,,20.7,,63.75
01.01.00 1:05:42.000,572,,20.62,,64.18
01.01.00 1:06:02.000,578,,20.54,,64.64
01.01.00 1:06:22.000,579,,20.44,,65.01
01.01.00 1:06:42.000,579,,20.37,,65.41
01.01.00 1:07:02.000,584,,20.35,,65.77
01.01.00 1:07:22.000,585,,20.23,,66.17
01.01.00 1:07:42.000,588,,20.18,,66.53
01.01.00 1:08:02.000,592,,20.1,,66.77
01.01.00 1:08:22.000,588,,20.03,,66.77
01.01.00 1:08:42.000,579,,19.92,,66.2
01.01.00 1:09:02.000,573,,19.8,,66.32
01.01.00 1:09:22.000,566,,19.74,,66.38
01.01.00 1:09:42.000,561,,19.67,,66.5
01.01.00 1:10:02.000,561,,19.61,,66.65
01.01.00 1:10:22.000,560,,19.57,,67.04
01.01.00 1:10:42.000,561,,19.53,,67.31
01.01.00 1:11:02.000,561,,19.47,,67.67
01.01.00 1:11:22.000,560,,19.48,,67.99
01.01.00 1:11:42.000,561,,19.49,,69.15
01.01.00 1:12:02.000,563,,19.43,,69.63
01.01.00 1:12:22.000,565,,19.39,,69.99
01.01.00 1:12:42.000,567,,19.31,,70.2
01.01.00 1:13:02.000,572,,19.25,,70.49
01.01.00 1:13:22.000,574,,19.15,,70.7
01.01.00 1:13:42.000,576,,19.07,,71
01.01.00 1:14:02.000,581,,19,,71.24
01.01.00 1:14:22.000,582,,18.89,,71.48
01.01.00 1:14:42.000,582,,18.81,,71.65
01.01.00 1:15:02.000,588,,18.67,,71.89
01.01.00 1:15:22.000,592,,18.58,,72.25
01.01.00 1:15:42.000,594,,18.49,,72.55
01.01.00 1:16:02.000,597,,18.41,,72.76
01.01.00 1:16:22.000,598,,18.29,,72.76
01.01.00 1:16:42.000,588,,18.16,,72.07
01.01.00 1:17:02.000,576,,18.04,,71.95
01.01.00 1:17:22.000,573,,17.89,,72.01
01.01.00 1:17:42.000,571,,17.81,,72.19
01.01.00 1:18:02.000,567,,17.7,,72.55
01.01.00 1:18:22.000,566,,17.59,,72.99
01.01.00 1:18:42.000,564,,17.55,,73.38
01.01.00 1:19:02.000,565,,17.47,,73.59
01.01.00 1:19:22.000,563,,17.43,,74.15
01.01.00 1:19:42.000,565,,17.39,,75.39
01.01.00 1:20:02.000,568,,17.41,,76.15
01.01.00 1:20:22.000,568,,17.31,,76.72
01.01.00 1:20:42.000,572,,17.31,,77.21
01.01.00 1:21:02.000,576,,17.28,,77.59
01.01.00 1:21:22.000,579,,17.26,,77.97
01.01.00 1:21:42.000,581,,17.21,,78.28
01.01.00 1:22:02.000,583,,17.22,,78.54
01.01.00 1:22:22.000,584,,17.2,,78.8
01.01.00 1:22:42.000,587,,17.18,,78.98
01.01.00 1:23:02.000,590,,17.15,,79.09
01.01.00 1:23:22.000,591,,17.15,,79.12
01.01.00 1:23:42.000,595,,17.12,,79.18
01.01.00 1:24:02.000,595,,17.11,,79.21
01.01.00 1:24:22.000,595,,17.07,,79.09
01.01.00 1:24:42.000,586,,17.02,,78.11
01.01.00 1:25:02.000,579,,16.97,,77.5
01.01.00 1:25:22.000,573,,16.93,,77.19
01.01.00 1:25:42.000,567,,16.92,,77.16
01.01.00 1:26:02.000,569,,16.87,,77.04
01.01.00 1:26:22.000,566,,16.85,,77.04
01.01.00 1:26:42.000,565,,16.8,,77.01
01.01.00 1:27:02.000,566,,16.77,,77.1
01.01.00 1:27:22.000,567,,16.8,,77.3
01.01.00 1:27:42.000,568,,16.79,,78.49
01.01.00 1:28:02.000,567,,16.79,,79.09
01.01.00 1:28:22.000,572,,16.72,,79.44
01.01.00 1:28:42.000,574,,16.72,,79.67
01.01.00 1:29:02.000,576,,16.65,,79.9
01.01.00 1:29:22.000,578,,16.61,,80.11
01.01.00 1:29:42.000,578,,16.57,,80.31
01.01.00 1:30:02.000,581,,16.53,,80.51
01.01.00 1:30:22.000,586,,16.47,,80.65
01.01.00 1:30:42.000,587,,16.45,,80.8
01.01.00 1:31:02.000,589,,16.39,,80.94
01.01.00 1:31:22.000,592,,16.31,,81.12
01.01.00 1:31:42.000,593,,16.29,,81.32
01.01.00 1:32:02.000,596,,16.25,,81.52
01.01.00 1:32:22.000,595,,16.17,,81.6
01.01.00 1:32:42.000,588,,16.11,,81
01.01.00 1:33:02.000,581,,16.09,,80.6
01.01.00 1:33:22.000,576,,16,,80.42
01.01.00 1:33:42.000,573,,15.98,,80.37
01.01.00 1:34:02.000,578,,15.96,,80.31
01.01.00 1:34:22.000,572,,15.95,,80.39
01.01.00 1:34:42.000,571,,15.9,,80.42
01.01.00 1:35:02.000,571,,15.91,,80.34
01.01.00 1:35:22.000,569,,15.88,,80.48
01.01.00 1:35:42.000,574,,15.89,,81.58
01.01.00 1:36:02.000,575,,15.84,,82.19
01.01.00 1:36:22.000,575,,15.81,,82.59
01.01.00 1:36:42.000,577,,15.79,,82.79
01.01.00 1:37:02.000,581,,15.74,,82.98
01.01.00 1:37:22.000,581,,15.74,,83.12
01.01.00 1:37:42.000,585,,15.7,,83.26
01.01.00 1:38:02.000,584,,15.71,,83.38
01.01.00 1:38:22.000,586,,15.67,,83.52
01.01.00 1:38:42.000,587,,15.65,,83.6
