,sensor [K-33 ELG],,,
,CO2,Temperature,Humidity,
01/01/00 1:00:39.000,"399","18.61","72.13",
01/01/00 1:00:59.000,"398","18.7","73.23",
01/01/00 1:01:19.000,"397","18.75","73.65",
01/01/00 1:01:39.000,"394","18.82","73.77",
01/01/00 1:01:59.000,"392","18.84","73.89",
01/01/00 1:02:19.000,"390","18.88","74.09",
01/01/00 1:02:39.000,"390","18.9","74.15",
01/01/00 1:02:59.000,"391","18.86","74.41",
01/01/00 1:03:19.000,"391","18.83","74.58",
01/01/00 1:03:39.000,"391","18.78","75.6",
01/01/00 1:03:59.000,"392","18.76","76.09",
01/01/00 1:04:19.000,"394","18.65","76.43",
01/01/00 1:04:39.000,"399","18.63","76.69",
01/01/00 1:04:59.000,"398","18.56","76.9",
01/01/00 1:05:19.000,"401","18.51","77.13",
01/01/00 1:05:39.000,"406","18.44","77.3",
01/01/00 1:05:59.000,"411","18.39","77.5",
01/01/00 1:06:19.000,"414","18.3","77.71",
01/01/00 1:06:39.000,"414","18.23","77.91",
01/01/00 1:06:59.000,"418","18.17","78.14",
01/01/00 1:07:19.000,"423","18.09","78.34",
01/01/00 1:07:39.000,"423","18.01","78.57",
01/01/00 1:07:59.000,"426","17.91","78.83",
01/01/00 1:08:19.000,"420","17.85","78.8",
01/01/00 1:08:39.000,"410","17.81","77.94",
01/01/00 1:08:59.000,"401","17.75","77.76",
01/01/00 1:09:19.000,"397","17.7","77.94",
01/01/00 1:09:39.000,"392","17.67","77.97",
01/01/00 1:09:59.000,"389","17.59","78.11",
01/01/00 1:10:19.000,"392","17.53","78.17",
01/01/00 1:10:39.000,"393","17.49","78.34",
01/01/00 1:10:59.000,"390","17.47","78.57",
01/01/00 1:11:19.000,"392","17.37","78.98",
01/01/00 1:11:39.000,"392","17.34","79.96",
01/01/00 1:11:59.000,"394","17.27","80.54",
01/01/00 1:12:19.000,"395","17.23","80.89",
01/01/00 1:12:39.000,"400","17.17","81.15",
01/01/00 1:12:59.000,"401","17.07","81.41",
01/01/00 1:13:19.000,"404","17.01","81.63",
01/01/00 1:13:39.000,"405","16.93","81.8",
01/01/00 1:13:59.000,"413","16.9","82.05",
01/01/00 1:14:19.000,"414","16.81","82.19",
01/01/00 1:14:39.000,"419","16.73","82.36",
01/01/00 1:14:59.000,"421","16.68","82.59",
01/01/00 1:15:19.000,"426","16.59","82.76",
01/01/00 1:15:39.000,"429","16.54","82.98",
01/01/00 1:15:59.000,"431","16.47","83.15",
01/01/00 1:16:19.000,"424","16.42","83.01",
01/01/00 1:16:39.000,"413","16.38","82.19",
01/01/00 1:16:59.000,"402","16.34","81.91",
01/01/00 1:17:19.000,"395","16.32","81.86",
01/01/00 1:17:39.000,"394","16.3","81.86",
01/01/00 1:17:59.000,"393","16.23","81.97",
01/01/00 1:18:19.000,"393","16.19","82.14",
01/01/00 1:18:39.000,"392","16.17","82.31",
01/01/00 1:18:59.000,"391","16.13","82.36",
01/01/00 1:19:19.000,"391","16.07","82.73",
01/01/00 1:19:39.000,"391","16.03","83.63",
01/01/00 1:19:59.000,"395","15.99","84.14",
01/01/00 1:20:19.000,"396","15.93","84.44",
01/01/00 1:20:39.000,"399","15.87","84.73",
01/01/00 1:20:59.000,"402","15.81","84.95",
01/01/00 1:21:19.000,"402","15.76","85.15",
01/01/00 1:21:39.000,"404","15.73","85.34",
01/01/00 1:21:59.000,"408","15.69","85.54",
01/01/00 1:22:19.000,"412","15.64","85.71",
01/01/00 1:22:39.000,"412","15.61","85.85",
01/01/00 1:22:59.000,"417","15.59","86.02",
01/01/00 1:23:19.000,"421","15.57","86.13",
01/01/00 1:23:39.000,"422","15.51","86.24",
01/01/00 1:23:59.000,"422","15.53","86.36",
01/01/00 1:24:19.000,"416","15.52","86.05",
01/01/00 1:24:39.000,"405","15.51","85.29",
01/01/00 1:24:59.000,"400","15.51","85.01",
01/01/00 1:25:19.000,"395","15.49","84.81",
01/01/00 1:25:39.000,"392","15.45","84.81",
01/01/00 1:25:59.000,"392","15.45","84.87",
01/01/00 1:26:19.000,"392","15.39","84.95",
01/01/00 1:26:39.000,"391","15.37","85.06",
01/01/00 1:26:59.000,"391","15.37","85.18",
01/01/00 1:27:19.000,"394","15.32","85.54",
01/01/00 1:27:39.000,"393","15.25","86.3",
01/01/00 1:27:59.000,"396","15.21","86.78",
01/01/00 1:28:19.000,"398","15.19","87.09",
01/01/00 1:28:39.000,"400","15.15","87.31",
01/01/00 1:28:59.000,"403","15.13","87.51",
01/01/00 1:29:19.000,"407","15.08","87.68",
01/01/00 1:29:39.000,"407","15.04","87.82",
01/01/00 1:29:59.000,"411","15.01","87.96",
01/01/00 1:30:19.000,"412","14.97","88.07",
01/01/00 1:30:39.000,"418","14.99","88.19",
01/01/00 1:30:59.000,"420","14.95","88.27",
01/01/00 1:31:19.000,"423","14.92","88.35",
01/01/00 1:31:39.000,"426","14.88","88.38",
01/01/00 1:31:59.000,"427","14.84","88.47",
